trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,points,pricing_pct,pricing_s,scenario,trucks
10,10,43,0.24,81,2.0,True,175.76,5800.0,58.0,-0.0,833.7,0.04,833.7,2,38.5,0.09,v2g,4
30,2,83,0.65,149,2.0,True,321.21,10600.0,106.0,0.007,1144.5,0.08,1144.58,3,36.5,0.24,v2g,12
60,0,133,1.53,241,2.0,True,327.27,10800.0,108.0,0.011,1622.45,0.11,1622.62,4,29.9,0.46,v2g,24
100,0,242,5.06,406,2.0,True,266.67,8800.0,88.0,0.021,2332.95,0.46,2333.45,5,19.2,0.97,v2g,42
150,0,559,25.35,773,2.0,True,187.88,6200.0,62.0,0.013,3238.6,22.23,3239.02,6,12.1,3.07,v2g,65
210,0,940,45.13,1214,2.0,True,100.0,3300.0,33.0,0.358,4339.4,301.06,4354.98,7,13.9,6.29,v2g,93
280,0,1043,50.5,1387,2.0,True,89.39,2950.0,29.5,0.011,5820.99,133.4,5821.64,8,16.9,8.54,v2g,126
360,0,883,38.49,1307,2.0,True,89.39,2950.0,29.5,0.01,7530.99,2.22,7531.76,9,19.5,7.52,v2g,164
450,0,1002,45.88,1516,2.0,True,89.39,2950.0,29.5,0.009,9465.99,1.54,9466.87,10,19.2,8.83,v2g,207
