trips,batteries,cg_iters,cg_s,cols,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,points,pricing_pct,pricing_s,scenario,schedule,trucks
20,9,39,0.23,87,True,266.67,8800.0,88.0,0.009,1082.1,0.08,1082.2,2,40.9,0.09,v2g,breaks,7
20,10,39,0.23,91,True,206.06,6800.0,68.0,0.0,1063.45,0.06,1063.45,2,40.2,0.09,v2g,uniform,8
60,1,83,0.66,179,True,546.97,18050.0,180.5,2.051,1891.67,0.33,1931.29,3,30.9,0.2,v2g,breaks,22
60,5,103,0.85,211,True,348.48,11500.0,115.0,0.16,1835.28,0.21,1838.23,3,29.4,0.25,v2g,uniform,24
120,0,162,2.54,330,True,739.39,24400.0,244.0,3.885,3123.15,1.96,3249.38,4,25.5,0.65,v2g,breaks,45
120,0,240,4.75,424,True,509.09,16800.0,168.0,0.014,3002.2,0.24,3002.63,4,17.3,0.82,v2g,uniform,48
