trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,points,pricing_pct,pricing_s,scenario,trucks
10,10,34,0.15,72,1.5,True,160.61,5300.0,53.0,0.0,808.82,0.01,808.82,2,40.9,0.06,v2g,4
30,3,98,0.52,164,1.5,True,254.55,8400.0,84.0,0.11,1069.87,0.07,1071.05,3,31.8,0.17,v2g,12
60,1,137,1.07,245,1.5,True,215.15,7100.0,71.0,0.088,1473.2,0.18,1474.5,4,28.1,0.3,v2g,24
100,1,334,5.53,498,1.5,True,130.3,4300.0,43.0,0.071,2053.9,19.24,2055.35,5,17.0,0.94,v2g,40
150,0,570,11.46,784,1.5,True,133.33,4400.0,44.0,0.016,2923.37,18.2,2923.85,6,18.8,2.15,v2g,60
210,0,571,18.85,845,1.5,True,133.33,4400.0,44.0,0.008,4003.12,1.91,4003.46,7,20.7,3.91,v2g,84
280,0,610,23.94,954,1.5,True,133.33,4400.0,44.0,0.008,5263.13,0.94,5263.54,8,21.7,5.2,v2g,112
