trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,pricing_pct,pricing_s,scenario,solar_mult,trucks
60,0,26,0.3,122,2.0,True,548.48,18100.0,181.0,0.0,2529.05,0.03,2529.05,45.0,0.14,v2g,1,36
60,0,26,0.3,122,2.0,True,654.55,21600.0,216.0,0.0,2704.05,0.03,2704.05,44.7,0.14,v2g,3,36
60,0,34,0.38,130,2.0,True,775.76,25600.0,256.0,0.0,2904.05,0.03,2904.05,42.9,0.16,v2g,5,36
60,0,47,0.5,143,2.0,True,896.97,29600.0,296.0,0.03,3104.05,0.05,3104.98,40.3,0.2,v2g,7,36
60,0,59,0.6,155,2.0,True,1024.24,33800.0,338.0,0.009,3314.05,0.05,3314.35,37.5,0.22,v2g,9,36
60,0,55,0.56,151,2.0,True,1166.67,38500.0,385.0,0.0,3549.05,0.04,3549.05,39.4,0.22,v2g,11,36
60,0,57,0.57,153,2.0,True,1300.0,42900.0,429.0,0.0,3769.05,0.04,3769.05,39.2,0.22,v2g,13,36
60,0,29,0.34,125,2.5,True,648.48,21400.0,214.0,0.03,2829.88,0.05,2830.72,41.4,0.14,v2g,1,39
60,0,34,0.39,130,2.5,True,754.55,24900.0,249.0,0.015,3004.88,0.05,3005.33,39.7,0.15,v2g,3,39
60,0,31,0.37,127,2.5,True,875.76,28900.0,289.0,0.014,3204.88,0.06,3205.32,40.3,0.15,v2g,5,39
60,0,27,0.33,123,2.5,True,990.91,32700.0,327.0,-0.0,3394.88,0.03,3394.88,41.0,0.14,v2g,7,39
60,0,36,0.4,132,2.5,True,1112.12,36700.0,367.0,0.004,3594.88,0.04,3595.03,39.8,0.16,v2g,9,39
60,0,42,0.45,138,2.5,True,1248.48,41200.0,412.0,0.006,3819.88,0.05,3820.1,39.6,0.18,v2g,11,39
60,0,45,0.47,141,2.5,True,1375.76,45400.0,454.0,0.014,4029.88,0.05,4030.43,38.6,0.18,v2g,13,39
