trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,points,pricing_pct,pricing_s,scenario,trucks
10,0,22,0.17,60,2.0,True,533.33,17600.0,176.0,0.0,1060.6,0.02,1060.6,2,50.4,0.09,v2g,4
30,0,37,0.36,103,2.0,True,624.24,20600.0,206.0,0.0,1571.8,0.03,1571.8,3,45.8,0.17,v2g,12
60,0,42,0.55,150,2.0,True,836.36,27600.0,276.0,-0.0,2463.6,0.04,2463.6,4,44.9,0.25,v2g,24
100,0,102,1.6,266,2.0,True,1157.58,38200.0,382.0,-0.0,3806.25,0.06,3806.25,5,38.3,0.61,v2g,42
150,0,185,3.52,399,2.0,True,1569.7,51800.0,518.0,0.898,5519.62,0.18,5569.65,6,36.4,1.28,v2g,66
210,0,287,7.25,561,2.0,True,2066.67,68200.0,682.0,0.066,7603.72,0.16,7608.75,7,34.4,2.49,v2g,93
280,0,492,17.07,836,2.0,True,2648.48,87400.0,874.0,0.0,10058.55,0.16,10058.55,8,29.5,5.03,v2g,126
360,0,700,29.09,1124,2.0,True,3324.24,109700.0,1097.0,0.041,12884.1,0.45,12889.42,9,29.5,8.57,v2g,164
450,0,840,44.2,1354,2.0,True,4093.94,135100.0,1351.0,0.031,16095.45,0.39,16100.48,10,27.6,12.18,v2g,207
