trips,batteries,cg_iters,cg_s,cols,eps,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,points,pricing_pct,pricing_s,scenario,trucks
10,0,25,0.31,138,1.5,True,518.18,17100.0,171.0,-0.0,1035.48,0.06,1035.47,2,68.8,0.22,v2g,4
30,0,34,0.51,175,1.5,True,578.79,19100.0,191.0,0.0,1496.42,0.06,1496.42,3,65.1,0.33,v2g,12
60,0,56,0.95,239,1.5,True,745.45,24600.0,246.0,0.0,2312.85,0.06,2312.85,4,57.6,0.55,v2g,24
100,0,80,1.57,319,1.5,True,1000.0,33000.0,330.0,0.0,3454.95,0.07,3454.95,5,53.3,0.83,v2g,40
150,0,160,3.31,449,1.5,True,1324.24,43700.0,437.0,-0.0,4892.63,0.1,4892.62,6,47.0,1.56,v2g,60
210,0,265,6.63,614,1.5,True,1718.18,56700.0,567.0,0.004,6625.88,0.15,6626.12,7,42.2,2.8,v2g,84
280,0,391,12.29,810,1.5,True,2190.91,72300.0,723.0,1.211,8654.7,0.84,8760.82,8,37.7,4.63,v2g,114
360,0,573,23.95,1072,1.5,True,2727.27,90000.0,900.0,1.399,10979.1,1.8,11134.82,9,32.3,7.74,v2g,147
450,0,789,44.44,1378,1.5,True,3333.33,110000.0,1100.0,1.169,13599.07,4.62,13759.9,10,27.5,12.22,v2g,183
