trips,batteries,cg_iters,cg_s,cols,feasible,fuel_gal,fuel_kwh,fuel_units,gap_pct,lp_obj,milp_s,mip_obj,points,pricing_pct,pricing_s,scenario,schedule,trucks
20,0,16,0.2,64,True,650.0,21450.0,214.5,0.151,1656.63,0.05,1659.12,2,50.9,0.1,v2g,breaks,13
20,0,30,0.31,80,True,651.52,21500.0,215.0,0.0,1526.75,0.03,1526.75,2,41.7,0.13,v2g,uniform,10
60,0,27,0.43,123,True,990.91,32700.0,327.0,-0.0,3394.88,0.04,3394.88,3,41.6,0.18,v2g,breaks,39
60,0,91,1.26,193,True,1006.06,33200.0,332.0,-0.0,3015.15,0.05,3015.15,3,32.4,0.41,v2g,uniform,30
120,0,63,1.23,231,True,1583.33,52250.0,522.5,0.054,6129.75,0.23,6133.09,4,34.9,0.43,v2g,breaks,78
120,0,154,2.23,334,True,1600.0,52800.0,528.0,-0.0,5350.0,0.06,5350.0,4,30.1,0.67,v2g,uniform,60
