c_g,pv,rho,c_b,scenario,trips,feasible,trucks,batteries,fuel_kwh,gen_cost,truck_cost,batt_cost,other_cost,total_cost,lp_obj,mip_obj,gap_pct,cg_s
40.0,2.0,0.5,51.0,solar,60,True,36,0,24400.0,9760.0,1620.0,0.0,4.0,11384.0,11384.05,11384.0,-0.0,0.45
40.0,2.0,0.5,51.0,v2g,60,True,42,14,15700.0,6280.0,1890.0,714.0,8.4,8892.4,8892.4,8892.4,-0.0,1.06
40.0,2.0,1.75,26.0,vsp,60,True,18,0,27200.0,10880.0,810.0,0.0,0.0,11690.0,6890.0,6890.0,0.0,0.31
40.0,2.0,1.75,26.0,solar,60,True,30,0,24200.0,9680.0,1350.0,0.0,4.0,11034.0,11034.05,11034.0,-0.0,0.46
40.0,2.0,1.75,26.0,v2g,60,True,30,14,14000.0,5600.0,1350.0,364.0,11.8,7325.8,7269.5,7325.8,0.768,0.66
40.0,2.0,1.75,36.0,vsp,60,True,18,0,27200.0,10880.0,810.0,0.0,0.0,11690.0,6890.0,6890.0,0.0,0.31
40.0,2.0,1.75,36.0,solar,60,True,30,0,24200.0,9680.0,1350.0,0.0,4.0,11034.0,11034.05,11034.0,-0.0,0.46
40.0,2.0,1.75,36.0,v2g,60,True,30,15,13800.0,5520.0,1350.0,540.0,10.9,7420.9,7392.2,7420.9,0.386,0.79
40.0,2.0,1.75,51.0,vsp,60,True,18,0,27200.0,10880.0,810.0,0.0,0.0,11690.0,6890.0,6890.0,0.0,0.31
40.0,2.0,1.75,51.0,solar,60,True,30,0,24200.0,9680.0,1350.0,0.0,4.0,11034.0,11034.05,11034.0,-0.0,0.46
40.0,2.0,1.75,51.0,v2g,60,True,34,2,14600.0,5840.0,1530.0,102.0,9.0,7481.0,7468.85,7481.0,0.162,2.86
40.0,3.0,0.5,26.0,vsp,60,True,18,0,26700.0,10680.0,810.0,0.0,0.0,11490.0,6690.0,6690.0,0.0,0.32
40.0,3.0,0.5,26.0,solar,60,True,36,0,23750.0,9500.0,1620.0,0.0,4.0,11124.0,11104.05,11124.0,0.18,0.34
40.0,3.0,0.5,26.0,v2g,60,True,36,59,0.0,0.0,1620.0,1534.0,15.9,3169.9,3169.9,3169.9,0.001,0.38
40.0,3.0,0.5,36.0,vsp,60,True,18,0,26700.0,10680.0,810.0,0.0,0.0,11490.0,6690.0,6690.0,0.0,0.32
40.0,3.0,0.5,36.0,solar,60,True,36,0,23750.0,9500.0,1620.0,0.0,4.0,11124.0,11104.05,11124.0,0.18,0.34
40.0,3.0,0.5,36.0,v2g,60,True,36,59,0.0,0.0,1620.0,2124.0,15.9,3759.9,3759.9,3759.9,0.001,0.43
40.0,3.0,0.5,51.0,vsp,60,True,18,0,26700.0,10680.0,810.0,0.0,0.0,11490.0,6690.0,6690.0,0.0,0.31
40.0,3.0,0.5,51.0,solar,60,True,36,0,23750.0,9500.0,1620.0,0.0,4.0,11124.0,11104.05,11124.0,0.18,0.34
40.0,3.0,0.5,51.0,v2g,60,True,42,37,1600.0,640.0,1890.0,1887.0,15.1,4432.1,4432.1,4432.1,0.0,1.18
40.0,3.0,1.75,26.0,vsp,60,True,18,0,26700.0,10680.0,810.0,0.0,0.0,11490.0,6690.0,6690.0,0.0,0.31
40.0,3.0,1.75,26.0,solar,60,True,30,0,23750.0,9500.0,1350.0,0.0,4.0,10854.0,10834.05,10854.0,0.184,0.44
40.0,3.0,1.75,26.0,v2g,60,True,30,27,0.0,0.0,1350.0,702.0,16.3,2068.3,2045.61,2068.3,1.098,0.87
40.0,3.0,1.75,36.0,vsp,60,True,18,0,26700.0,10680.0,810.0,0.0,0.0,11490.0,6690.0,6690.0,0.0,0.31
40.0,3.0,1.75,36.0,solar,60,True,30,0,23750.0,9500.0,1350.0,0.0,4.0,10854.0,10834.05,10854.0,0.184,0.44
40.0,3.0,1.75,36.0,v2g,60,True,30,27,0.0,0.0,1350.0,972.0,16.0,2338.0,2307.04,2338.0,1.324,0.87
40.0,3.0,1.75,51.0,vsp,60,True,18,0,26700.0,10680.0,810.0,0.0,0.0,11490.0,6690.0,6690.0,0.0,0.31
40.0,3.0,1.75,51.0,solar,60,True,30,0,23750.0,9500.0,1350.0,0.0,4.0,10854.0,10834.05,10854.0,0.184,0.44
40.0,3.0,1.75,51.0,v2g,60,True,35,21,100.0,40.0,1575.0,1071.0,16.1,2702.1,2665.33,2702.1,1.36,1.43
100.0,1.0,0.5,26.0,vsp,60,True,18,0,28900.0,28900.0,810.0,0.0,0.0,29710.0,17710.0,17710.0,0.0,0.32
100.0,1.0,0.5,26.0,solar,60,True,36,0,29600.0,29600.0,1620.0,0.0,4.1,31224.1,31224.05,31224.1,-0.0,0.37
100.0,1.0,0.5,26.0,v2g,60,True,36,2,29400.0,29400.0,1620.0,52.0,4.2,31076.2,31076.15,31076.2,-0.0,0.52
100.0,1.0,0.5,36.0,vsp,60,True,18,0,28900.0,28900.0,810.0,0.0,0.0,29710.0,17710.0,17710.0,0.0,0.31
100.0,1.0,0.5,36.0,solar,60,True,36,0,29600.0,29600.0,1620.0,0.0,4.1,31224.1,31224.05,31224.1,-0.0,0.37
100.0,1.0,0.5,36.0,v2g,60,True,36,2,29400.0,29400.0,1620.0,72.0,4.2,31096.2,31096.15,31096.2,0.0,0.54
100.0,1.0,0.5,51.0,vsp,60,True,18,0,28900.0,28900.0,810.0,0.0,0.0,29710.0,17710.0,17710.0,0.0,0.31
100.0,1.0,0.5,51.0,solar,60,True,36,0,29600.0,29600.0,1620.0,0.0,4.1,31224.1,31224.05,31224.1,-0.0,0.37
100.0,1.0,0.5,51.0,v2g,60,True,38,0,29400.0,29400.0,1710.0,0.0,4.2,31114.2,31114.15,31114.2,-0.0,0.6
100.0,1.0,1.75,26.0,vsp,60,True,18,0,28900.0,28900.0,810.0,0.0,0.0,29710.0,17710.0,17710.0,0.0,0.31
100.0,1.0,1.75,26.0,solar,60,True,30,0,29000.0,29000.0,1350.0,0.0,3.9,30353.9,30082.45,30353.9,0.894,0.65
100.0,1.0,1.75,26.0,v2g,60,True,30,0,28600.0,28600.0,1350.0,0.0,5.0,29955.0,29754.95,29955.0,0.668,0.86
