cb,cg,eps,points,pv,ratio,rho,slices,solar_batt_cost,solar_batteries,solar_feasible,solar_fuel_kwh,solar_gap_pct,solar_gen_cost,solar_lp_obj,solar_mip_obj,solar_scenario,solar_total_cost,solar_trips,solar_truck_cost,solar_trucks,solar_vs_vsp_pct,surplus_mwh,traction_mwh,v2g_batt_cost,v2g_batteries,v2g_feasible,v2g_fuel_kwh,v2g_gap_pct,v2g_gen_cost,v2g_lp_obj,v2g_mip_obj,v2g_scenario,v2g_total_cost,v2g_trips,v2g_truck_cost,v2g_trucks,v2g_vs_solar_pct,v2g_vs_vsp_pct,vsp_batt_cost,vsp_batteries,vsp_feasible,vsp_fuel_kwh,vsp_gap_pct,vsp_gen_cost,vsp_lp_obj,vsp_mip_obj,vsp_scenario,vsp_total_cost,vsp_trips,vsp_truck_cost,vsp_trucks
36.0,40.0,2.0,2,1.0,0.925,1.75,solar_x_demand,0.0,0,True,19950.0,0.237,7980.0,8411.35,8431.4,solar,8431.4,20,450.0,10,2.3,3.7,4.0,72.0,2,True,18400.0,0.326,7360.0,7858.74,7884.5,v2g,7884.5,20,450.0,10,6.49,8.64,0.0,0,True,20900.0,0.0,8360.0,7030.0,7030.0,vsp,8630.0,20,270.0,6
36.0,40.0,2.0,3,1.0,0.308,1.75,solar_x_demand+solar_x_intensity,0.0,0,True,29000.0,0.838,11600.0,12845.31,12953.9,solar,12953.9,60,1350.0,30,-4.72,3.7,12.0,36.0,1,True,28500.0,0.597,11400.0,12714.95,12791.4,v2g,12791.4,60,1350.0,30,1.25,-3.41,0.0,0,True,28900.0,0.0,11560.0,7570.0,7570.0,vsp,12370.0,60,810.0,18
36.0,40.0,2.0,4,1.0,0.154,1.75,solar_x_demand,0.0,0,True,44100.0,0.73,17640.0,20199.06,20347.7,solar,20347.7,120,2700.0,60,-13.17,3.7,24.0,36.0,1,True,43800.0,0.571,17520.0,20148.05,20263.8,v2g,20263.8,120,2700.0,60,0.41,-12.7,0.0,0,True,40900.0,0.0,16360.0,8380.0,8380.0,vsp,17980.0,120,1620.0,36
36.0,40.0,2.0,2,2.0,4.2,1.75,solar_x_demand,0.0,0,True,18200.0,0.0,7280.0,7731.35,7731.4,solar,7731.4,20,450.0,10,2.75,16.8,4.0,720.0,20,True,3600.0,0.0,1440.0,2619.0,2619.0,v2g,2619.0,20,450.0,10,66.13,67.06,0.0,0,True,19200.0,0.0,7680.0,6350.0,6350.0,vsp,7950.0,20,270.0,6
36.0,40.0,2.0,3,2.0,1.4,1.75,solar_x_demand+solar_x_intensity+prices+charge_rate,0.0,0,True,24200.0,-0.0,9680.0,11034.05,11034.0,solar,11034.0,60,1350.0,30,5.61,16.8,12.0,540.0,15,True,13800.0,0.386,5520.0,7392.2,7420.9,v2g,7420.9,60,1350.0,30,32.75,36.52,0.0,0,True,27200.0,0.0,10880.0,6890.0,6890.0,vsp,11690.0,60,810.0,18
36.0,40.0,2.0,4,2.0,0.7,1.75,solar_x_demand,0.0,0,True,33500.0,0.745,13400.0,15988.1,16108.1,solar,16108.1,120,2700.0,60,6.89,16.8,24.0,72.0,2,True,29600.0,0.496,11840.0,14552.0,14624.5,v2g,14624.5,120,2700.0,60,9.21,15.47,0.0,0,True,39200.0,0.0,15680.0,7700.0,7700.0,vsp,17300.0,120,1620.0,36
36.0,40.0,2.0,2,3.0,7.725,1.75,solar_x_demand,0.0,0,True,17700.0,0.0,7080.0,7531.35,7531.4,solar,7531.4,20,450.0,10,2.82,30.9,4.0,828.0,23,True,0.0,0.798,0.0,1277.91,1288.2,v2g,1288.2,20,450.0,10,82.9,83.38,0.0,0,True,18700.0,0.0,7480.0,6150.0,6150.0,vsp,7750.0,20,270.0,6
36.0,40.0,2.0,3,3.0,2.575,1.75,solar_x_demand+solar_x_intensity,0.0,0,True,23750.0,0.184,9500.0,10834.05,10854.0,solar,10854.0,60,1350.0,30,5.54,30.9,12.0,972.0,27,True,0.0,1.324,0.0,2307.04,2338.0,v2g,2338.0,60,1350.0,30,78.46,79.65,0.0,0,True,26700.0,0.0,10680.0,6690.0,6690.0,vsp,11490.0,60,810.0,18
36.0,40.0,2.0,4,3.0,1.288,1.75,solar_x_demand,0.0,0,True,33400.0,2.29,13360.0,15788.1,16158.1,solar,16158.1,120,2790.0,62,5.51,30.9,24.0,828.0,23,True,15000.0,1.084,6000.0,9444.19,9547.7,v2g,9547.7,120,2700.0,60,40.91,44.17,0.0,0,True,38700.0,0.0,15480.0,7500.0,7500.0,vsp,17100.0,120,1620.0,36
36.0,40.0,0.5,3,1.0,1.233,1.75,solar_x_intensity,0.0,0,True,21150.0,1.467,8460.0,9401.65,9541.7,solar,9541.7,60,1080.0,24,-8.8,3.7,3.0,36.0,1,True,18600.0,0.423,7440.0,8523.2,8559.4,v2g,8559.4,60,1080.0,24,10.29,2.4,0.0,0,True,19900.0,0.0,7960.0,7570.0,7570.0,vsp,8770.0,60,810.0,18
36.0,40.0,1.0,3,1.0,0.617,1.75,solar_x_intensity,0.0,0,True,23200.0,2.611,9280.0,10135.69,10407.4,solar,10407.4,60,1125.0,25,-4.39,3.7,6.0,36.0,1,True,22200.0,0.446,8880.0,9954.7,9999.3,v2g,9999.3,60,1080.0,24,3.92,-0.29,0.0,0,True,22900.0,0.0,9160.0,7570.0,7570.0,vsp,9970.0,60,810.0,18
36.0,40.0,1.5,3,1.0,0.411,1.75,solar_x_intensity,0.0,0,True,25950.0,2.268,10380.0,11203.02,11463.0,solar,11463.0,60,1080.0,24,-2.62,3.7,9.0,36.0,1,True,25200.0,0.328,10080.0,11163.2,11199.9,v2g,11199.9,60,1080.0,24,2.3,-0.27,0.0,0,True,25900.0,0.0,10360.0,7570.0,7570.0,vsp,11170.0,60,810.0,18
36.0,40.0,2.5,3,1.0,0.247,1.75,solar_x_intensity,0.0,0,True,32650.0,0.694,13060.0,14314.8,14414.8,solar,14414.8,60,1350.0,30,-6.23,3.7,15.0,0.0,0,True,32500.0,0.286,13000.0,14314.8,14355.9,v2g,14355.9,60,1350.0,30,0.41,-5.79,0.0,0,True,31900.0,0.0,12760.0,7570.0,7570.0,vsp,13570.0,60,810.0,18
36.0,40.0,0.5,3,2.0,5.6,1.75,solar_x_intensity,0.0,0,True,19150.0,0.229,7660.0,8721.65,8741.6,solar,8741.6,60,1080.0,24,-8.05,16.8,3.0,648.0,18,True,3800.0,0.003,1520.0,3257.75,3257.8,v2g,3257.8,60,1080.0,24,62.73,59.73,0.0,0,True,18200.0,0.0,7280.0,6890.0,6890.0,vsp,8090.0,60,810.0,18
36.0,40.0,1.0,3,2.0,2.8,1.75,solar_x_intensity,0.0,0,True,20700.0,0.904,8280.0,9322.4,9407.4,solar,9407.4,60,1125.0,25,-1.26,16.8,6.0,612.0,17,True,7500.0,1.045,3000.0,4697.45,4747.1,v2g,4747.1,60,1125.0,25,49.54,48.9,0.0,0,True,21200.0,0.0,8480.0,6890.0,6890.0,vsp,9290.0,60,810.0,18
36.0,40.0,1.5,3,2.0,1.867,1.75,solar_x_intensity,0.0,0,True,22600.0,2.41,9040.0,9923.15,10168.2,solar,10168.2,60,1125.0,25,3.07,16.8,9.0,612.0,17,True,10500.0,0.066,4200.0,5897.75,5901.6,v2g,5901.6,60,1080.0,24,41.96,43.74,0.0,0,True,24200.0,0.0,9680.0,6890.0,6890.0,vsp,10490.0,60,810.0,18
