delta
Days,Time,Power (MW),PV(MW),Solar,Delta,Delta_int
3/19/17,00:15,4.97908558175432,0,0,4.97908558175432,5
3/19/17,00:30,5.28051180329193,0,0,5.28051180329193,5
3/19/17,00:45,5.1452558861429,0,0,5.1452558861429,5
3/19/17,01:00,4.87946527969647,0,0,4.87946527969647,5
3/19/17,01:15,5.00245903214985,0,0,5.00245903214985,5
3/19/17,01:30,5.00132432993279,0,0,5.00132432993279,5
3/19/17,01:45,4.89899508039657,0,0,4.89899508039657,5
3/19/17,02:00,5.2831365510538,0,0,5.2831365510538,5
3/19/17,02:15,5.65365776394588,0,0,5.65365776394588,6
3/19/17,02:30,6.80564196089419,0,0,6.80564196089419,7
3/19/17,02:45,6.32332663131435,0,0,6.32332663131435,6
3/19/17,03:00,5.71149339934,0,0,5.71149339934,6
3/19/17,03:15,4.87518871535919,0,0,4.87518871535919,5
3/19/17,03:30,4.80066210506525,0,0,4.80066210506525,5
3/19/17,03:45,5.88581056752361,0,0,5.88581056752361,6
3/19/17,04:00,7.06057589798264,0,0,7.06057589798264,7
3/19/17,04:15,6.85774664119825,0,0,6.85774664119825,7
3/19/17,04:30,5.67900411907543,0,0,5.67900411907543,6
3/19/17,04:45,4.85717721314725,0,0,4.85717721314725,5
3/19/17,05:00,4.81667553589189,0,0,4.81667553589189,5
3/19/17,05:15,5.13839470728,0,0,5.13839470728,5
3/19/17,05:30,5.37434863834905,0,0,5.37434863834905,5
3/19/17,05:45,5.25621230960425,0,0,5.25621230960425,5
3/19/17,06:00,5.07263878680693,0,0,5.07263878680693,5
3/19/17,06:15,4.99765233810371,0,0,4.99765233810371,5
3/19/17,06:30,5.71770740298075,0.00739323312174718,0.0517526318522303,5.66595477112852,6
3/19/17,06:45,6.11016568452757,0.00739323312174718,0.0517526318522303,6.05841305267534,6
3/19/17,07:00,6.20066533828119,0.00739323312174718,0.0517526318522303,6.14891270642896,6
3/19/17,07:15,6.7022065028102,0.00739323312174718,0.0517526318522303,6.65045387095797,7
3/19/17,07:30,8.08782489423061,0.184325025285837,1.29027517700086,6.79754971722975,7
3/19/17,07:45,9.46260482268983,0.184325025285837,1.29027517700086,8.17232964568897,8
3/19/17,08:00,10.5614973829997,0.184325025285837,1.29027517700086,9.27122220599884,9
3/19/17,08:15,9.51850733060968,0.184325025285837,1.29027517700086,8.22823215360882,8
