delta
Days,Time,Power (MW),PV(MW),Solar,Delta,Delta_int
3/19/17,19:30,13.4278195727952,0,0,13.4278195727952,13
3/19/17,19:45,10.5503756827222,0,0,10.5503756827222,11
3/19/17,20:00,10.3648646760918,0,0,10.3648646760918,10
3/19/17,20:15,10.3450404694825,0,0,10.3450404694825,10
3/19/17,20:30,10.4812986116997,0,0,10.4812986116997,10
3/19/17,20:45,9.67829481715983,0,0,9.67829481715983,10
3/19/17,21:00,8.96496499962996,0,0,8.96496499962996,9
3/19/17,21:15,8.21981448421893,0,0,8.21981448421893,8
3/19/17,21:30,8.16377631218307,0,0,8.16377631218307,8
3/19/17,21:45,7.93707888285071,0,0,7.93707888285071,8
3/19/17,22:00,7.49746053833997,0,0,7.49746053833997,7
3/19/17,22:15,6.85585152047251,0,0,6.85585152047251,7
3/19/17,22:30,6.54836503367928,0,0,6.54836503367928,7
3/19/17,22:45,6.0027059168015,0,0,6.0027059168015,6
3/19/17,23:00,5.76845812562665,0,0,5.76845812562665,6
3/19/17,23:15,5.61089140183866,0,0,5.61089140183866,6
3/19/17,23:30,5.32644500540983,0,0,5.32644500540983,5
3/19/17,23:45,5.07833273281217,0,0,5.07833273281217,5
3/19/17,24:00,4.99193223633033,0,0,4.99193223633033,5
