pv,regime,trips,surplus_mwh,baseline_units,g_units,traction_units,fleet_paid_units,trucks,batteries,total_cost,gap_pct
1.0,vsp,60,3.7,169.0,169.0,120.0,0.0,18,0,7570.0,0.0
1.0,ev,60,3.7,169.0,169.0,120.0,154.0,30,0,14270.0,0.561
1.0,solar,60,3.7,169.0,288.0,120.0,0.0,30,0,12873.9,0.663
1.0,v2g,60,3.7,169.0,285.0,120.0,0.0,30,1,12790.4,0.594
2.0,vsp,60,16.8,152.0,152.0,120.0,0.0,18,0,6890.0,0.0
2.0,ev,60,16.8,152.0,152.0,120.0,154.0,30,0,13590.0,0.589
2.0,solar,60,16.8,152.0,228.47,120.0,0.0,30,0,10492.7,2.031
2.0,v2g,60,16.8,152.0,140.0,120.0,0.0,30,11,7356.9,0.428
3.0,vsp,60,30.9,147.0,147.0,120.0,0.0,18,0,6690.0,0.0
3.0,ev,60,30.9,147.0,147.0,120.0,154.0,30,0,13390.0,0.597
3.0,solar,60,30.9,147.0,199.04,120.0,0.0,42,0,9855.5,0.0
3.0,v2g,60,30.9,147.0,0.0,120.0,0.0,30,25,2265.4,1.656
