JobID|JobName|Partition|State|Elapsed|ElapsedRaw|AllocCPUS|ExitCode|Submit|Start|End
726949_0|v2g17_common|scaglione|FAILED|00:00:02|2|1|2:0|2026-09-21T23:24:12|2026-09-21T23:24:35|2026-09-21T23:24:37
726949_1|v2g17_common|scaglione|FAILED|00:00:02|2|1|2:0|2026-09-21T23:24:12|2026-09-21T23:24:35|2026-09-21T23:24:37
726949_2|v2g17_common|scaglione|FAILED|00:00:04|4|1|2:0|2026-09-21T23:24:12|2026-09-21T23:25:08|2026-09-21T23:25:12
726949_3|v2g17_common|scaglione|FAILED|00:00:04|4|1|2:0|2026-09-21T23:24:12|2026-09-21T23:25:08|2026-09-21T23:25:12
