Cluster|JobID|JobName|Partition|State|Elapsed|ElapsedRaw|AllocCPUS|ExitCode|Submit|Start|End
unicorn|727162_0|v2g17_common|scaglione|COMPLETED|00:00:49|49|1|0:0|2026-09-21T23:27:27|2026-09-21T23:27:31|2026-09-21T23:28:20
unicorn|727176_1|v2g17_common|scaglione|COMPLETED|00:00:30|30|1|0:0|2026-09-21T23:29:26|2026-09-21T23:29:32|2026-09-21T23:30:02
unicorn|727176_2|v2g17_common|scaglione|COMPLETED|00:00:33|33|1|0:0|2026-09-21T23:29:26|2026-09-21T23:29:32|2026-09-21T23:30:05
unicorn|727176_3|v2g17_common|scaglione|COMPLETED|00:00:30|30|1|0:0|2026-09-21T23:29:26|2026-09-21T23:30:12|2026-09-21T23:30:42
